id,region,group,counts
1,ACC,Lesion_Novel,866.942
1,PRL,Lesion_Novel,876.91
1,PRL,Lesion_Novel,772.169
1,DPC,Lesion_Novel,949.508
1,DPC,Lesion_Novel,693.306
1,IFC,Lesion_Novel,610.258
1,PRL,Lesion_Novel,469.664
1,PRL,Lesion_Novel,663.703
1,ACC,Lesion_Novel,835.027
1,PRL,Lesion_Novel,504.67
1,PRL,Lesion_Novel,537.023
1,ACC,Lesion_Novel,369.977
1,PRL,Lesion_Novel,362.184
1,DPC,Lesion_Novel,495.76
1,IFC,Lesion_Novel,346.496
1,ACC,Lesion_Novel,313.877
1,M2C,Lesion_Novel,294.959
1,DPC,Lesion_Novel,528.739
1,IFC,Lesion_Novel,264.657
1,PRL,Lesion_Novel,383.523
1,DPC,Lesion_Novel,451.978
1,IFC,Lesion_Novel,348.934
1,PRL,Lesion_Novel,414.741
1,ACC,Lesion_Novel,415.967
1,M2C,Lesion_Novel,164.724
1,DPC,Lesion_Novel,108.346
1,PRL,Lesion_Novel,264.58
1,PRL,Lesion_Novel,287.931
1,DPC,Lesion_Novel,167.123
1,VDG,Lesion_Novel,228.303
1,VCA3,Lesion_Novel,315.515
1,VSUB,Lesion_Novel,406.854
1,PRH,Lesion_Novel,642.558
1,DSUB,Lesion_Novel,214.657
1,PRH,Lesion_Novel,556.236
1,TE2,Lesion_Novel,709.114
1,TE2,Lesion_Novel,295.374
1,VOC,Lesion_Novel,183.606
1,MOC,Lesion_Novel,135.761
1,DPC,Lesion_Novel,202.128
1,PRL,Lesion_Novel,228.226
1,DDG,Lesion_Novel,60.5492
1,DCA3,Lesion_Novel,19.4507
1,DCA1,Lesion_Novel,98.0602
1,DCA3,Lesion_Novel,109.453
1,DCA3,Lesion_Novel,124.051
1,DCA1,Lesion_Novel,28.5803
1,DCA3,Lesion_Novel,38.2667
1,DDG,Lesion_Novel,48.3672
1,DCA1,Lesion_Novel,14.6289
1,DCA3,Lesion_Novel,33.3439
1,DDG,Lesion_Novel,17.9641
1,DCA1,Lesion_Novel,14.6029
1,DCA3,Lesion_Novel,43.3571
