"region","id","group","counts"
"ACC",3,"Lesion_Familiar",699.594509469156
"ACC",8,"Lesion_Familiar",301.811127456226
"ACC",13,"Lesion_Familiar",336.648896177256
"ACC",14,"Lesion_Familiar",505.61354976653
"ACC",22,"Lesion_Familiar",661.370732849134
"ACC",23,"Lesion_Familiar",419.247499786861
"ACC",29,"Lesion_Familiar",286.310890047714
"ACC",31,"Lesion_Familiar",354.87699525643
"ACC",38,"Lesion_Familiar",676.448893366833
"ACC",39,"Lesion_Familiar",686.302639424975
"ACC",1,"Lesion_Novel",576.61557446931
"ACC",5,"Lesion_Novel",424.806293214956
"ACC",10,"Lesion_Novel",420.233009806086
"ACC",11,"Lesion_Novel",386.128176559649
"ACC",19,"Lesion_Novel",300.112797604292
"ACC",27,"Lesion_Novel",681.235095902575
"ACC",28,"Lesion_Novel",801.612285841981
"ACC",34,"Lesion_Novel",497.85036640639
"ACC",35,"Lesion_Novel",339.784431823176
"ACC",4,"Sham_Familiar",307.749271443314
"ACC",7,"Sham_Familiar",524.784932834416
"ACC",16,"Sham_Familiar",263.884964427632
"ACC",21,"Sham_Familiar",130.470416614382
"ACC",24,"Sham_Familiar",260.194574587367
"ACC",30,"Sham_Familiar",887.972566907158
"ACC",32,"Sham_Familiar",424.500407764148
"ACC",37,"Sham_Familiar",340.269569393859
"ACC",40,"Sham_Familiar",826.3420046198
"ACC",6,"Sham_Novel",359.824810353078
"ACC",9,"Sham_Novel",446.014206326187
"ACC",12,"Sham_Novel",486.796877869922
"ACC",18,"Sham_Novel",452.037116495588
"ACC",20,"Sham_Novel",350.113376989939
"ACC",25,"Sham_Novel",864.366537173796
"ACC",26,"Sham_Novel",605.728746965814
"ACC",33,"Sham_Novel",371.916625897237
"ACC",36,"Sham_Novel",532.297533993096
"DCA1",3,"Lesion_Familiar",378.47645810069
"DCA1",8,"Lesion_Familiar",157.127329987764
"DCA1",13,"Lesion_Familiar",142.499713970167
"DCA1",14,"Lesion_Familiar",171.616825192585
"DCA1",22,"Lesion_Familiar",238.067185210417
"DCA1",29,"Lesion_Familiar",165.726516556581
"DCA1",31,"Lesion_Familiar",108.089050950954
"DCA1",38,"Lesion_Familiar",105.319735818928
"DCA1",39,"Lesion_Familiar",140.800429968156
"DCA1",1,"Lesion_Novel",185.27800031544
"DCA1",5,"Lesion_Novel",176.059903915169
"DCA1",10,"Lesion_Novel",119.962756651174
"DCA1",11,"Lesion_Novel",196.525301241891
"DCA1",19,"Lesion_Novel",96.469837431707
"DCA1",28,"Lesion_Novel",214.274198599534
"DCA1",34,"Lesion_Novel",363.8695355552
"DCA1",35,"Lesion_Novel",92.7199539979022
"DCA1",4,"Sham_Familiar",505.767903265887
"DCA1",7,"Sham_Familiar",289.248975371692
"DCA1",15,"Sham_Familiar",101.067297035782
"DCA1",16,"Sham_Familiar",234.028156464233
"DCA1",24,"Sham_Familiar",214.022487990723
"DCA1",32,"Sham_Familiar",99.9163182959705
"DCA1",37,"Sham_Familiar",186.723855815603
"DCA1",6,"Sham_Novel",156.562570354753
"DCA1",9,"Sham_Novel",162.116467440908
"DCA1",12,"Sham_Novel",254.962021979719
"DCA1",20,"Sham_Novel",114.42039130294
"DCA1",25,"Sham_Novel",198.379114019123
"DCA1",26,"Sham_Novel",167.520512570426
"DCA1",33,"Sham_Novel",244.636182547794
"DCA1",36,"Sham_Novel",147.209583099792
"DCA3",3,"Lesion_Familiar",250.566434661032
"DCA3",8,"Lesion_Familiar",135.348905092267
"DCA3",13,"Lesion_Familiar",173.433709134415
"DCA3",14,"Lesion_Familiar",203.985037743701
"DCA3",22,"Lesion_Familiar",251.335138080571
"DCA3",23,"Lesion_Familiar",427.738499114033
"DCA3",29,"Lesion_Familiar",262.396647239878
"DCA3",31,"Lesion_Familiar",145.4245759157
"DCA3",39,"Lesion_Familiar",165.205318838679
"DCA3",1,"Lesion_Novel",142.74420647683
"DCA3",5,"Lesion_Novel",169.495218826651
"DCA3",10,"Lesion_Novel",194.790536807315
"DCA3",11,"Lesion_Novel",234.952573074359
"DCA3",19,"Lesion_Novel",151.454426755149
"DCA3",28,"Lesion_Novel",219.548572769223
"DCA3",34,"Lesion_Novel",332.45868312746
"DCA3",35,"Lesion_Novel",110.064485738936
"DCA3",4,"Sham_Familiar",642.509958366639
"DCA3",7,"Sham_Familiar",234.663620000148
"DCA3",15,"Sham_Familiar",134.769292881022
"DCA3",16,"Sham_Familiar",295.140653439559
"DCA3",24,"Sham_Familiar",149.046633264411
"DCA3",30,"Sham_Familiar",231.754609935064
"DCA3",32,"Sham_Familiar",160.374796078252
"DCA3",37,"Sham_Familiar",188.052896097513
"DCA3",40,"Sham_Familiar",197.615012522274
"DCA3",6,"Sham_Novel",255.135319910414
"DCA3",9,"Sham_Novel",287.608964672445
"DCA3",12,"Sham_Novel",336.734957117919
"DCA3",18,"Sham_Novel",380.958833195531
"DCA3",20,"Sham_Novel",144.253646022918
"DCA3",25,"Sham_Novel",202.055399981491
"DCA3",26,"Sham_Novel",159.20419216692
"DCA3",33,"Sham_Novel",179.311240403214
"DCA3",36,"Sham_Novel",147.775554337165
"DDG",3,"Lesion_Familiar",389.033005691038
"DDG",8,"Lesion_Familiar",169.779797778653
"DDG",13,"Lesion_Familiar",213.530003679929
"DDG",14,"Lesion_Familiar",175.873223213412
"DDG",22,"Lesion_Familiar",227.021691619262
"DDG",23,"Lesion_Familiar",443.330933432915
"DDG",29,"Lesion_Familiar",222.531193217206
"DDG",31,"Lesion_Familiar",170.242368674132
"DDG",39,"Lesion_Familiar",205.541528280044
"DDG",1,"Lesion_Novel",201.584567396447
"DDG",5,"Lesion_Novel",238.421465871483
"DDG",10,"Lesion_Novel",258.318499379179
"DDG",11,"Lesion_Novel",190.78479483394
"DDG",19,"Lesion_Novel",70.5391706653289
"DDG",28,"Lesion_Novel",219.283269333061
"DDG",34,"Lesion_Novel",809.976056295218
"DDG",35,"Lesion_Novel",148.117339482038
"DDG",7,"Sham_Familiar",362.890829803007
"DDG",15,"Sham_Familiar",130.997116092595
"DDG",16,"Sham_Familiar",234.377324715696
"DDG",24,"Sham_Familiar",75.0181675823398
"DDG",30,"Sham_Familiar",230.314807986357
"DDG",32,"Sham_Familiar",158.989077737036
"DDG",37,"Sham_Familiar",230.427045567508
"DDG",40,"Sham_Familiar",242.492482022926
"DDG",6,"Sham_Novel",349.015874071796
"DDG",9,"Sham_Novel",265.343740709309
"DDG",12,"Sham_Novel",265.255202624057
"DDG",20,"Sham_Novel",140.316746717528
"DDG",25,"Sham_Novel",214.998044609248
"DDG",26,"Sham_Novel",281.976499313733
"DDG",33,"Sham_Novel",215.863370324593
"DDG",36,"Sham_Novel",152.605165712467
"DPC",3,"Lesion_Familiar",604.42479842265
"DPC",8,"Lesion_Familiar",382.033406408601
